row	university	program	project_url	course_url	highlight
77	University of Illinois--Urbana-Champaign	Master of Engineering (MEng) in Electrical and Computer Engineering			课程设置是以专业为导向，帮助学生之后在电子和计算机工程行业更好的就业
78	University of Wisconsin--Madison	Master of Science Electrical Engineering, Professional			1.实践形纯课程设置，为之后更好的就业做准备 2.课程会包括一个专业发展暑期会议 3.学生可以在学术顾问的帮助下选择在与自己的职业兴趣相一致的课程（重点领域包括计算机工程、场与波、固态/光子学或能源与电力系统。）
79	University of Wisconsin--Madison	Master of Science, Electrical Engineering			1.课程设置注重研究，可以和教授进行深入的项目研究，且算学分 2.需要准备一篇关于研究问题的论文或项目报告（可自行与教授商量决定是选论文还是项目报告）
80	University of Wisconsin--Madison	Electrical & Computer Engineering: Machine Learning & Signal Processing MS			
81	University of Wisconsin--Madison	Electrical and Computer Engineering: Power Engineering, MS			
82	University of California--Santa Barbara	M.S. in Electrical and Computer Engineering		https://www.ece.ucsb.edu/grad/apply/faqs	1. 综合排名#34, 工程学院排名#24 2. 海滨小城，位于洛杉矶以北120mile. 两面环海全年阳光普照 3. 师资力量也非常雄厚，教授中有6位诺贝尔奖获得者，27位美国国家科学院院士，27位美国国家工程院院士，23位美国人文与科学院院士以及38位美国科学促进会成员
83	Ohio State University--Columbus	Master of Science in Electrical and Computer Engineering			课程分为1.研究(论文形式）2.项目形式两种选项
84	Boston University	Master of Science in Electrical & Computer Engineering			1. 综合排名#40, 工程学院排名#36 2.同时也是全美第三大私立大学，坐落在马萨诸塞州（麻省）的波士顿市中心，与哈佛大学、麻省理工学院隔河相对,利于人脉积累 3.  2017年11月，全球就业能力最强大学排行榜出炉，排名第六。
85	Boston University	Master of Science in Robotics & Autonomous Systems			
86	Rutgers, The State University of New Jersey--New Brunswick	Master of Science in Electrical and Computer Engineering		https://ece.rutgers.edu/graduate-faqs	1.项目提供一个有助于促进学生个人和专业成长的学习环境 2.课程包括广泛的专业领域 3.获得纽约金融中心的工作和实习机会 4.与顶级行业、国家研究实验室和同行学术机构的研究合作和实习机会
87	University of Maryland--College Park	M.S. in Electrical & Computer Engineering		https://ece.umd.edu/graduate/prospective-students/faq	项目有thesis 和 non-thesis 选项，学生可以专供以下技术部门：通信和信号处理，计算机工程，控制，微电子，电子物理
88	University of Maryland--College Park	M.Eng. in Robotics			
89	University of Washington	Master of Science in Electrical Engineering		https://www.ee.washington.edu/academics/grad/faqs/	1.位于华盛顿州西雅图市，学生与著名的科技公司以及充满活力的初创企业社区非常接近，这使得UW ECE成为一个理想的创业场所 2.毕业生在研究机构或工业界享有有价值的职位，在微软、苹果、波音、Facebook、谷歌、亚马逊、IBM、安捷伦、T-Mobile、Verizon、摩托罗拉、Qwest、National Instruments等公司工作。
90	University of Washington	Professional Master's Program in Electrical Engineering		https://www.ee.washington.edu/academics/pmp/faqs/	专注于前沿技术课题和最新大学研究，为学生提供推动创新所需的专业知识。PMP专为应届毕业生和已经在该领域工作的专业人士设计，为毕业生准备新的和有回报的职业机会。
91	Lehigh University	MS/M.Eng in Computer Engineering			学生除了可以在本身课程设置中做不同领域的课题研究（例如数据库和信息系统、互联网搜索、图形、用户界面、基于网络的系统、多媒体和图像处理、生物信息学、智能系统、计算机体系结构、机器人、安全系统等），还可以与其他大学和企业研究实验室其他部门的同事互动，探索计算机科学研究的跨学科方面
92	Lehigh University	MS/M.Eng in Electrical Engineering			1.给学生提供不通领域课题研究的机会 2.系教职员工参与国家资助项目，在很多关键领域进行研究
93	Northeastern University	Master of Science in Electrical & Computer Engineering			1.  综合排名#40, 工程学院排名#34 2.东北大学的就业服务Career Service位列全美第1，理工科毕业生在美国东北部公司的受欢迎程度仅次于麻省理工学院与哈佛大学 3. 学校安排Co-op带薪实习超值
94	Northeastern University	Master of Science in Robotics			
95	Purdue University--West Lafayette	MSECE Professional Master of Science in Electrical and Computer Engineering			1.分为project track，thesis track和online选择 2.研究生课程是全美最优秀的课程之一，在培养创造力、创新能力和学生成功的环境中，提供严谨、前沿和智力激发的教育体验。学生有机会学习并与那些在研究、教学和指导方面的卓越成就享誉全球的顶尖教师一起工作。
96	Purdue University--West Lafayette	Thesis Master of Science in Electrical and Computer Engineering			1.分为project track，thesis track和online选择 2.研究生课程是全美最优秀的课程之一，在培养创造力、创新能力和学生成功的环境中，提供严谨、前沿和智力激发的教育体验。学生有机会学习并与那些在研究、教学和指导方面的卓越成就享誉全球的顶尖教师一起工作。
97	Purdue University--West Lafayette	Autonomy, IoT, and Robotics Professional Master's Programs
 (ACS)		https://engineering.purdue.edu/ACS/faqs	
98	Purdue University--West Lafayette	Master of Science in Robotics-online			
99	University of Minnesota	MS in Robotics		https://cse.umn.edu/mnri/frequently-asked-questions	
100	Rensselaer Polytechnic Institute	Master of Science in Electrical Engineering and Computer and Systems Engineering			
101	University of Delaware	Master of Science in Robotics (MSR)			
102	Arizona State University	MS in Robotics and Autonomous Systems			
103	University of Colorado Boulder	Robotics
Master of Science-Thesis			
104	University of Colorado Boulder	Robotics
Master of Science-Non Thesis			
